,Fecha,Hidráulica,Hidroeólica,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Residuos renovables
114,24/04/2020,146.491697,0.053988,84.818772,47.002989,10.089491,12.093102,1.1436635000000002
115,25/04/2020,135.543329,0.038335999999999995,37.130968,33.920289,0.709716,12.311709,1.1946020000000002
116,26/04/2020,132.55819699999998,0.018302,58.182843,35.089152999999996,3.094365,12.328994,1.192703
117,27/04/2020,146.605607,0.016774999999999998,115.062989,35.276680999999996,2.91956,12.132435,1.1936
118,28/04/2020,134.375176,0.020215,182.665941,45.529928,7.86209,12.042754,1.195565
119,29/04/2020,110.96573,0.058696,250.424744,56.7714,18.65909,10.632312,1.227725
120,30/04/2020,90.745981,0.06956,321.082165,43.242644,7.418013,11.556451,1.2188175
121,01/05/2020,73.20914200000001,0.034445,269.98814,53.296985,15.79285,11.645923,1.3075160000000001
122,02/05/2020,93.726338,0.016588000000000002,153.43691099999998,60.830254000000004,25.501168,11.431314,1.298222
123,03/05/2020,87.496447,0.008262,64.515795,60.756849,26.013856,11.331434999999999,1.2148415
124,04/05/2020,81.710026,0.008962999999999999,224.363036,51.930963000000006,16.438122,10.606073,1.149181
125,05/05/2020,126.322484,0.024536000000000002,109.45763099999999,54.139998,17.169147000000002,12.033415999999999,1.196212
126,06/05/2020,132.321032,0.034094,52.368621,59.207483,21.009383000000003,12.459136,1.2599395
127,07/05/2020,117.851691,0.027098,155.544756,46.859106,8.94976,12.521106,1.2628264999999999
128,08/05/2020,108.69278,0.006951,116.74163800000001,57.076341,20.811442,12.56966,0.9498565
129,09/05/2020,95.552021,0.027126,108.66294400000001,42.589760000000005,6.192747000000001,12.259125,0.9207690000000001
130,10/05/2020,84.863512,0.072552,152.268429,37.297971,7.015125,12.071885,1.2324755
131,11/05/2020,94.38169599999999,0.037111,185.88636300000002,43.160154000000006,4.085624,11.634539,1.3019745
132,12/05/2020,140.041483,0.048018,62.050099,24.329854,1.3205989999999999,12.133222,1.3206745
133,13/05/2020,134.167973,0.043881,68.485356,42.669957000000004,3.7806260000000003,12.18581,1.3403545
134,14/05/2020,105.041032,0.052872999999999996,149.603793,25.843616,0.589419,12.514421,1.2919955
135,15/05/2020,103.657594,0.074614,180.63879500000002,34.694044999999996,4.583018,12.187459,1.3379375
136,16/05/2020,90.886172,0.053965000000000006,192.93466,40.80692,9.496945,11.893674,1.3046165
137,17/05/2020,81.866827,0.048735999999999995,113.556405,53.793293,16.051406999999998,11.891449,1.107342
