,Date,Close
1178,2021-03-25,2.76
1179,2021-03-26,3.05
1180,2021-03-27,3.05
1181,2021-03-28,3.05
1182,2021-03-29,2.92
1183,2021-03-30,2.79
1184,2021-03-31,2.86
1185,2021-04-01,3.21
1186,2021-04-02,3.21
1187,2021-04-03,3.21
1188,2021-04-04,3.21
1189,2021-04-05,3.55
1190,2021-04-06,3.18
1191,2021-04-07,3.06
1192,2021-04-08,3.31
1193,2021-04-09,3.09
1194,2021-04-10,3.09
1195,2021-04-11,3.09
1196,2021-04-12,2.85
1197,2021-04-13,2.81
1198,2021-04-14,2.88
1199,2021-04-15,2.81
1200,2021-04-16,2.75
1201,2021-04-17,2.75
1202,2021-04-18,2.75
1203,2021-04-19,2.6
1204,2021-04-20,2.59
1205,2021-04-21,2.74
1206,2021-04-22,2.71
1207,2021-04-23,2.87
1208,2021-04-24,2.87
1209,2021-04-25,2.87
1210,2021-04-26,2.84
1211,2021-04-27,2.8
1212,2021-04-28,3.04
1213,2021-04-29,2.94
1214,2021-04-30,2.9
1215,2021-05-01,2.9
1216,2021-05-02,2.9
1217,2021-05-03,3.32
1218,2021-05-04,3.15
1219,2021-05-05,3.31
1220,2021-05-06,3.24
1221,2021-05-07,3.34
1222,2021-05-08,3.34
1223,2021-05-09,3.34
1224,2021-05-10,3.12
1225,2021-05-11,3.04
1226,2021-05-12,2.77
1227,2021-05-13,2.7
1228,2021-05-14,2.94
1229,2021-05-15,2.94
1230,2021-05-16,2.94
1231,2021-05-17,3.24
1232,2021-05-18,3.24
1233,2021-05-19,3.09
1234,2021-05-20,3.11
1235,2021-05-21,3.06
1236,2021-05-22,3.06
1237,2021-05-23,3.06
1238,2021-05-24,3.01
1239,2021-05-25,2.84
1240,2021-05-26,3.05
1241,2021-05-27,3.29
1242,2021-05-28,3.13
1243,2021-05-29,3.13
1244,2021-05-30,3.13
1245,2021-05-31,3.13
1246,2021-06-01,3.31
1247,2021-06-02,3.36
1248,2021-06-03,3.17
1249,2021-06-04,3.31
1250,2021-06-05,3.31
1251,2021-06-06,3.31
1252,2021-06-07,3.41
1253,2021-06-08,3.29
1254,2021-06-09,3.16
1255,2021-06-10,3.13
1256,2021-06-11,3.2
1257,2021-06-12,3.2
1258,2021-06-13,3.2
1259,2021-06-14,2.96
1260,2021-06-15,3.06
1261,2021-06-16,3.2
1262,2021-06-17,2.96
1263,2021-06-18,2.89
1264,2021-06-19,2.89
1265,2021-06-20,2.89
1266,2021-06-21,2.8
1267,2021-06-22,2.83
1268,2021-06-23,2.81
1269,2021-06-24,2.91
1270,2021-06-25,2.63
1271,2021-06-26,2.63
1272,2021-06-27,2.63
1273,2021-06-28,2.61
1274,2021-06-29,2.51
1275,2021-06-30,2.66
1276,2021-07-01,2.64
1277,2021-07-02,2.57
1278,2021-07-03,2.57
1279,2021-07-04,2.57
1280,2021-07-05,2.57
1281,2021-07-06,2.39
1282,2021-07-07,2.35
1283,2021-07-08,2.21
